iter	Passed	Remaining
1047	36039	74003
1048	36067	73957
1049	36101	73922
1050	36131	73879
1051	36159	73831
1052	36194	73798
1053	36226	73758
1054	36261	73726
1055	36296	73692
1056	36331	73660
1057	36362	73618
1058	36396	73584
1059	36424	73535
1060	36451	73486
1061	36484	73450
1062	36514	73405
1063	36542	73360
1064	36575	73322
1065	36607	73282
1066	36636	73237
1067	36672	73208
1068	36706	73172
1069	36741	73139
1070	36778	73110
1071	36813	73078
1072	36847	73041
1073	36878	73001
1074	36914	72971
1075	36956	72950
1076	36993	72921
1077	37025	72883
1078	37061	72852
1079	37095	72816
1080	37127	72777
1081	37157	72734
1082	37192	72701
1083	37225	72664
1084	37259	72630
1085	37294	72596
1086	37332	72569
1087	37369	72539
1088	37400	72499
1089	37434	72464
1090	37470	72433
1091	37504	72398
1092	37541	72369
1093	37572	72328
1094	37607	72296
1095	37637	72252
1096	37671	72217
1097	37706	72184
1098	37742	72153
1099	37777	72120
1100	37812	72088
1101	37847	72054
1102	37882	72020
1103	37911	71977
1104	37941	71934
1105	37976	71902
1106	38010	71866
1107	38044	71830
1108	38073	71786
1109	38106	71749
1110	38140	71715
1111	38173	71677
1112	38206	71641
1113	38241	71607
1114	38272	71568
1115	38308	71535
1116	38342	71502
1117	38381	71475
1118	38417	71444
1119	38452	71411
1120	38482	71368
1121	38513	71328
1122	38549	71297
1123	38585	71267
1124	38619	71232
1125	38650	71190
1126	38681	71150
1127	38716	71117
1128	38747	71077
1129	38780	71040
1130	38815	71008
1131	38850	70973
1132	38890	70950
1133	38923	70913
1134	38955	70875
1135	38991	70843
1136	39026	70811
1137	39061	70776
1138	39097	70745
1139	39131	70710
1140	39162	70670
1141	39198	70639
1142	39227	70596
1143	39263	70564
1144	39297	70530
1145	39335	70502
1146	39373	70473
1147	39404	70433
1148	39435	70393
1149	39470	70360
1150	39501	70320
1151	39535	70285
1152	39571	70253
1153	39607	70223
1154	39642	70189
1155	39676	70154
1156	39712	70123
1157	39749	70093
1158	39781	70055
1159	39821	70030
1160	39858	70001
1161	39893	69968
1162	39929	69937
1163	39959	69895
1164	39993	69859
1165	40027	69824
1166	40061	69790
1167	40094	69753
1168	40128	69717
1169	40157	69675
1170	40193	69643
1171	40222	69600
1172	40255	69563
1173	40288	69526
1174	40318	69484
1175	40349	69445
1176	40380	69404
1177	40414	69369
1178	40443	69327
1179	40473	69284
1180	40504	69244
1181	40539	69212
1182	40569	69171
1183	40604	69136
1184	40639	69104
1185	40672	69068
1186	40705	69031
1187	40735	68989
1188	40770	68956
1189	40801	68916
1190	40834	68880
1191	40869	68846
1192	40903	68812
1193	40936	68776
1194	40973	68747
1195	41006	68709
1196	41040	68675
1197	41070	68634
1198	41107	68603
1199	41139	68565
1200	41171	68528
1201	41203	68489
1202	41239	68457
1203	41270	68419
1204	41306	68386
1205	41342	68356
1206	41377	68322
1207	41414	68292
1208	41444	68251
1209	41476	68213
1210	41512	68181
1211	41542	68141
1212	41577	68107
1213	41611	68072
1214	41644	68036
1215	41680	68004
1216	41716	67974
1217	41751	67940
1218	41791	67914
1219	41824	67878
1220	41860	67848
1221	41895	67814
1222	41929	67780
1223	41964	67746
1224	41998	67712
1225	42040	67689
1226	42077	67660
1227	42111	67626
1228	42148	67595
1229	42186	67567
1230	42217	67527
1231	42254	67497
1232	42291	67467
1233	42323	67429
1234	42363	67403
1235	42398	67371
1236	42434	67340
1237	42468	67304
1238	42499	67265
1239	42535	67234
1240	42573	67204
1241	42611	67177
1242	42648	67146
1243	42682	67111
1244	42717	67078
1245	42753	67047
1246	42786	67011
1247	42821	66977
1248	42855	66943
1249	42890	66908
1250	42927	66879
1251	42963	66847
1252	43000	66817
1253	43038	66788
1254	43075	66759
1255	43109	66723
1256	43143	66688
1257	43174	66649
1258	43208	66614
1259	43242	66580
1260	43275	66542
1261	43306	66504
1262	43341	66470
1263	43381	66444
1264	43417	66413
1265	43451	66378
1266	43484	66341
1267	43520	66309
1268	43555	66276
1269	43589	66242
1270	43627	66214
1271	43663	66181
1272	43693	66141
1273	43730	66110
1274	43761	66071
1275	43792	66032
1276	43829	66002
1277	43868	65973
1278	43902	65940
1279	43938	65907
1280	43971	65871
1281	44002	65831
1282	44036	65797
1283	44070	65762
1284	44105	65729
1285	44142	65699
1286	44177	65665
1287	44207	65624
1288	44246	65596
1289	44281	65564
1290	44316	65530
1291	44349	65494
1292	44383	65459
1293	44418	65425
1294	44456	65397
1295	44489	65361
1296	44518	65318
1297	44551	65282
1298	44586	65250
1299	44618	65211
1300	44648	65171
1301	44684	65139
1302	44716	65100
1303	44750	65066
1304	44787	65035
1305	44823	65004
1306	44860	64974
1307	44896	64942
1308	44932	64910
1309	44968	64878
1310	45002	64843
1311	45035	64807
1312	45070	64774
1313	45103	64736
1314	45139	64705
1315	45177	64676
1316	45213	64644
1317	45246	64608
1318	45284	64578
1319	45322	64549
1320	45353	64510
1321	45389	64478
1322	45418	64437
1323	45448	64396
1324	45479	64357
1325	45510	64319
1326	45546	64287
1327	45578	64249
1328	45607	64207
1329	45642	64174
1330	45674	64137
1331	45709	64103
1332	45742	64067
1333	45771	64025
1334	45804	63988
1335	45836	63950
1336	45868	63914
1337	45902	63878
1338	45937	63845
1339	45976	63817
1340	46008	63780
1341	46043	63746
1342	46079	63715
1343	46115	63683
1344	46149	63648
1345	46184	63615
1346	46224	63588
1347	46263	63560
1348	46297	63525
1349	46330	63490
1350	46362	63452
1351	46400	63423
1352	46440	63396
1353	46477	63365
1354	46512	63332
1355	46543	63293
1356	46579	63261
1357	46611	63223
1358	46646	63191
1359	46682	63159
1360	46719	63127
1361	46754	63094
1362	46790	63061
1363	46824	63028
1364	46859	62994
1365	46896	62963
1366	46929	62927
1367	46962	62890
1368	46998	62858
1369	47028	62819
1370	47067	62790
1371	47100	62755
1372	47134	62720
1373	47169	62686
1374	47204	62652
1375	47241	62622
1376	47274	62586
1377	47311	62554
1378	47349	62525
1379	47383	62491
1380	47413	62451
1381	47448	62417
1382	47483	62384
1383	47516	62347
1384	47546	62308
1385	47581	62274
1386	47622	62249
1387	47656	62214
1388	47693	62183
1389	47724	62144
1390	47758	62110
1391	47793	62076
1392	47824	62038
1393	47856	62000
1394	47892	61967
1395	47930	61938
1396	47965	61905
1397	48002	61874
1398	48032	61834
1399	48068	61801
1400	48096	61759
1401	48132	61727
1402	48168	61695
1403	48205	61664
1404	48240	61631
1405	48273	61594
1406	48309	61563
1407	48344	61529
1408	48378	61494
1409	48411	61458
1410	48447	61426
1411	48485	61396
1412	48521	61364
1413	48556	61330
1414	48591	61297
1415	48626	61263
1416	48659	61228
1417	48695	61195
1418	48729	61160
1419	48768	61132
1420	48804	61100
1421	48839	61066
1422	48871	61028
1423	48905	60994
1424	48937	60956
1425	48966	60915
1426	48999	60880
1427	49030	60841
1428	49070	60814
1429	49110	60786
1430	49145	60753
1431	49181	60721
1432	49217	60688
1433	49251	60653
1434	49288	60623
1435	49322	60588
1436	49358	60555
1437	49396	60526
1438	49432	60493
1439	49464	60456
1440	49498	60421
1441	49535	60390
1442	49571	60358
1443	49607	60326
1444	49644	60294
1445	49681	60263
1446	49711	60224
1447	49743	60186
1448	49774	60148
1449	49811	60117
1450	49842	60078
1451	49875	60043
1452	49911	60010
1453	49947	59977
1454	49982	59944
1455	50014	59907
1456	50048	59873
1457	50088	59844
1458	50124	59812
1459	50158	59778
1460	50195	59746
1461	50231	59714
1462	50268	59682
1463	50299	59644
1464	50335	59611
1465	50365	59573
1466	50401	59540
1467	50436	59506
1468	50469	59471
1469	50505	59438
1470	50539	59403
1471	50575	59370
1472	50612	59340
1473	50650	59309
1474	50687	59278
1475	50724	59246
1476	50761	59215
1477	50797	59183
1478	50836	59154
1479	50873	59123
1480	50908	59089
1481	50943	59056
1482	50976	59019
1483	51013	58988
1484	51049	58955
1485	51085	58923
1486	51118	58887
1487	51153	58854
1488	51189	58821
1489	51227	58791
1490	51263	58759
1491	51301	58728
1492	51334	58692
1493	51374	58665
1494	51412	58634
1495	51450	58604
1496	51485	58570
1497	51522	58538
1498	51555	58502
1499	51590	58469
1500	51625	58434
1501	51658	58399
1502	51692	58364
1503	51722	58325
1504	51759	58294
1505	51797	58263
1506	51835	58233
1507	51871	58200
1508	51904	58165
1509	51935	58126
1510	51970	58092
1511	52005	58058
1512	52041	58026
1513	52076	57992
1514	52110	57958
1515	52144	57922
1516	52179	57889
1517	52211	57852
1518	52246	57818
1519	52282	57786
1520	52317	57752
1521	52351	57717
1522	52381	57677
1523	52421	57649
1524	52455	57614
1525	52489	57580
1526	52520	57542
1527	52560	57513
1528	52593	57477
1529	52629	57445
1530	52663	57410
1531	52697	57375
1532	52730	57340
1533	52761	57301
1534	52795	57267
1535	52829	57231
1536	52865	57199
1537	52901	57166
1538	52933	57129
1539	52970	57098
1540	53005	57064
1541	53041	57031
1542	53073	56994
1543	53108	56961
1544	53145	56928
1545	53178	56893
1546	53214	56860
1547	53247	56824
1548	53284	56793
1549	53322	56762
1550	53365	56737
1551	53404	56708
1552	53443	56678
1553	53478	56644
1554	53506	56603
1555	53540	56568
1556	53572	56531
1557	53607	56497
1558	53635	56456
1559	53669	56421
1560	53703	56387
1561	53738	56353
1562	53775	56321
1563	53811	56288
1564	53846	56255
1565	53883	56223
1566	53918	56189
1567	53951	56153
1568	53986	56119
1569	54020	56085
1570	54054	56049
1571	54089	56016
1572	54125	55983
1573	54164	55953
1574	54201	55922
1575	54236	55888
1576	54271	55854
1577	54307	55821
1578	54344	55790
1579	54385	55762
1580	54422	55730
1581	54458	55698
1582	54491	55662
1583	54526	55628
1584	54561	55594
1585	54596	55560
1586	54632	55527
1587	54667	55493
1588	54703	55460
1589	54737	55425
1590	54772	55392
1591	54807	55358
1592	54843	55325
1593	54880	55293
1594	54915	55259
1595	54950	55226
1596	54987	55193
1597	55021	55158
1598	55056	55125
1599	55095	55095
1600	55129	55060
1601	55167	55030
1602	55199	54993
1603	55231	54956
1604	55271	54927
1605	55310	54896
1606	55350	54868
1607	55385	54834
1608	55426	54806
1609	55466	54777
1610	55503	54745
1611	55539	54712
1612	55575	54679
1613	55610	54645
1614	55642	54608
1615	55673	54570
1616	55707	54536
1617	55739	54499
1618	55773	54464
1619	55809	54431
1620	55848	54401
1621	55884	54368
1622	55918	54333
1623	55954	54301
1624	55989	54267
1625	56026	54234
1626	56060	54200
1627	56093	54163
1628	56129	54131
1629	56164	54097
1630	56204	54067
1631	56244	54039
1632	56282	54007
1633	56318	53975
1634	56356	53943
1635	56382	53901
1636	56415	53865
1637	56445	53826
1638	56480	53792
1639	56511	53754
1640	56548	53722
1641	56585	53691
1642	56624	53660
1643	56662	53629
1644	56697	53595
1645	56733	53562
1646	56767	53527
1647	56797	53488
1648	56832	53454
1649	56866	53419
1650	56901	53385
1651	56933	53349
1652	56972	53318
1653	57007	53285
1654	57040	53249
1655	57071	53212
1656	57111	53182
1657	57150	53151
1658	57183	53115
1659	57215	53079
1660	57251	53046
1661	57284	53010
1662	57317	52974
1663	57352	52941
